from,to,value,id
30-50 days,failed,182,1008253437-2
failed,50% - 100%,182,1008253437-3
GB,Theater,34,1008284937-0
Theater,20-30 days,34,1008284937-1
20-30 days,failed,34,1008284937-2
failed,25% - 50%,34,1008284937-3
GB,Food,115,1008286001-0
Food,> 50 days,115,1008286001-1
> 50 days,failed,115,1008286001-2
failed,< 10%,115,1008286001-3
US,Technology,25,1008286247-0
Technology,< 10 days,25,1008286247-1
< 10 days,canceled,25,1008286247-2
canceled,< 10%,25,1008286247-3
US,Publishing,79,1008397415-0
Publishing,40-50 days,79,1008397415-1
40-50 days,successful,79,1008397415-2
successful,> 200%,79,1008397415-3
US,Fashion,72,1008399677-0
Fashion,40-50 days,72,1008399677-1
40-50 days,failed,72,1008399677-2
failed,25% - 50%,72,1008399677-3
US,Publishing,7,1008418863-0
Publishing,> 50 days,7,1008418863-1
> 50 days,canceled,7,1008418863-2
canceled,50% - 100%,7,1008418863-3
SE,Games,2,1008435969-0
Games,> 50 days,2,1008435969-1
> 50 days,successful,2,1008435969-2
successful,100% - 120%,2,1008435969-3
GB,Theater,35,1008452184-0
Theater,40-50 days,35,1008452184-1
40-50 days,successful,35,1008452184-2
successful,100% - 120%,35,1008452184-3
US,Theater,191,1008454668-0
Theater,40-50 days,191,1008454668-1
40-50 days,failed,191,1008454668-2
failed,< 10%,191,1008454668-3
CA,Film & Video,32,1008469727-0
Film & Video,40-50 days,32,1008469727-1
40-50 days,successful,32,1008469727-2
successful,100% - 120%,32,1008469727-3
US,Dance,38,1008541493-0
Dance,> 50 days,38,1008541493-1
> 50 days,successful,38,1008541493-2
successful,120% - 200%,38,1008541493-3
US,Design,21,1008563861-0
Design,10-20 days,21,1008563861-1
10-20 days,canceled,21,1008563861-2
canceled,10% - 25%,21,1008563861-3
GB,Crafts,6,100860604-0
Crafts,10-20 days,6,100860604-1
10-20 days,successful,6,100860604-2
successful,> 200%,6,100860604-3
CA,Fashion,25,1008646958-0
Fashion,30-50 days,25,1008646958-1
30-50 days,successful,25,1008646958-2
successful,> 200%,25,1008646958-3
GB,Journalism,6,1008667332-0
Journalism,20-30 days,6,1008667332-1
20-30 days,failed,6,1008667332-2
failed,25% - 50%,6,1008667332-3
N,0",Publishing,45,1008671527-0
Publishing,30-50 days,45,1008671527-1
30-50 days,undefined,45,1008671527-2
undefined,< 10%,45,1008671527-3
US,Fashion,120,1008682450-0
Fashion,40-50 days,120,1008682450-1
40-50 days,failed,120,1008682450-2
failed,10% - 25%,120,1008682450-3
GB,Film & Video,90,1008683670-0
Film & Video,10-20 days,90,1008683670-1
10-20 days,successful,90,1008683670-2
successful,120% - 200%,90,1008683670-3
HK,Design,25,1008685794-0
Design,20-30 days,25,1008685794-1
20-30 days,failed,25,1008685794-2
failed,< 10%,25,1008685794-3
SE,Music,3,1008705746-0
Music,20-30 days,3,1008705746-1
20-30 days,failed,3,1008705746-2
failed,25% - 50%,3,1008705746-3
BE,Photography,2,1008706475-0
Photography,10-20 days,2,1008706475-1
10-20 days,successful,2,1008706475-2
successful,100% - 120%,2,1008706475-3
US,Crafts,390,1008716395-0
Crafts,20-30 days,390,1008716395-1
20-30 days,failed,390,1008716395-2
failed,10% - 25%,390,1008716395-3
SG,Games,8,1008742687-0
Games,20-30 days,8,1008742687-1
20-30 days,successful,8,1008742687-2
successful,> 200%,8,1008742687-3
AU,Film & Video,28,1008748515-0
Film & Video,10-20 days,28,1008748515-1
10-20 days,failed,28,1008748515-2
failed,< 10%,28,1008748515-3
AT,Technology,35,1008789148-0
Technology,20-30 days,35,1008789148-1
20-30 days,failed,35,1008789148-2
failed,< 10%,35,1008789148-3
GB,Journalism,6,100879523-0
Journalism,20-30 days,6,100879523-1
20-30 days,successful,6,100879523-2
successful,> 200%,6,100879523-3
N,0",Music,202,1008815806-0
Music,30-50 days,202,1008815806-1
30-50 days,undefined,202,1008815806-2
undefined,100% - 120%,202,1008815806-3
DE,Film & Video,10,1008824835-0
Film & Video,20-30 days,10,1008824835-1
20-30 days,failed,10,1008824835-2
failed,10% - 25%,10,1008824835-3
IT,Games,5,1008826903-0
Games,20-30 days,5,1008826903-1
20-30 days,canceled,5,1008826903-2
canceled,50% - 100%,5,1008826903-3
AU,Art,4,1008855015-0
Art,40-50 days,4,1008855015-1
40-50 days,failed,4,1008855015-2
failed,10% - 25%,4,1008855015-3
US,Comics,226,1008856924-0
Comics,20-30 days,226,1008856924-1
20-30 days,canceled,226,1008856924-2
canceled,< 10%,226,1008856924-3
US,Food,206,1008869084-0
Food,> 50 days,206,1008869084-1
> 50 days,successful,206,1008869084-2
successful,100% - 120%,206,1008869084-3
US,Food,56,1008873636-0
Food,10-20 days,56,1008873636-1
10-20 days,successful,56,1008873636-2
successful,> 200%,56,1008873636-3
CA,Film & Video,25,1008905645-0
Film & Video,30-50 days,25,1008905645-1
30-50 days,canceled,25,1008905645-2
canceled,< 10%,25,1008905645-3
US,Games,466,100892321-0
Games,30-50 days,466,100892321-1
30-50 days,canceled,466,100892321-2
canceled,< 10%,466,100892321-3
IT,Design,29,1008923900-0
Design,> 50 days,29,1008923900-1
> 50 days,failed,29,1008923900-2
failed,< 10%,29,1008923900-3
GB,Music,9,1008930901-0
Music,> 50 days,9,1008930901-1
> 50 days,successful,9,1008930901-2
successful,> 200%,9,1008930901-3
GB,Art,15,1008937002-0
Art,> 50 days,15,1008937002-1
> 50 days,canceled,15,1008937002-2
canceled,< 10%,15,1008937002-3
US,Theater,57,1008941852-0
Theater,20-30 days,57,1008941852-1
20-30 days,failed,57,1008941852-2
failed,50% - 100%,57,1008941852-3
US,Music,50,1008978325-0
Music,30-50 days,50,1008978325-1
30-50 days,canceled,50,1008978325-2
canceled,10% - 25%,50,1008978325-3
NL,Photography,6,100903994-0
Photography,30-50 days,6,100903994-1
30-50 days,failed,6,100903994-2
failed,< 10%,6,100903994-3
US,Technology,34,1009041597-0
Technology,> 50 days,34,1009041597-1
> 50 days,failed,34,1009041597-2
failed,50% - 100%,34,1009041597-3
US,Theater,81,1009058925-0
Theater,30-50 days,81,1009058925-1
30-50 days,failed,81,1009058925-2
failed,10% - 25%,81,1009058925-3
GB,Music,55,1009107346-0
Music,40-50 days,55,1009107346-1
40-50 days,successful,55,1009107346-2
successful,100% - 120%,55,1009107346-3
US,Film & Video,368,1009109244-0
Film & Video,20-30 days,368,1009109244-1
20-30 days,failed,368,1009109244-2
failed,50% - 100%,368,1009109244-3
NL,Games,112,1009111005-0
Games,20-30 days,112,1009111005-1
20-30 days,failed,112,1009111005-2
failed,< 10%,112,1009111005-3
DE,Design,29,1009154287-0
Design,20-30 days,29,1009154287-1
20-30 days,successful,29,1009154287-2
successful,> 200%,29,1009154287-3
FR,Publishing,2,1009173491-0
Publishing,10-20 days,2,1009173491-1
10-20 days,successful,2,1009173491-2
successful,120% - 200%,2,1009173491-3
AU,Technology,34,1009175601-0
Technology,20-30 days,34,1009175601-1
20-30 days,successful,34,1009175601-2
successful,100% - 120%,34,1009175601-3
CA,Design,215,1009207145-0
Design,20-30 days,215,1009207145-1
20-30 days,failed,215,1009207145-2
failed,< 10%,215,1009207145-3
NZ,Publishing,3,1009207392-0
Publishing,10-20 days,3,1009207392-1
10-20 days,successful,3,1009207392-2
successful,100% - 120%,3,1009207392-3
US,Games,176,1009243994-0
Games,< 10 days,176,1009243994-1
< 10 days,successful,176,1009243994-2
successful,> 200%,176,1009243994-3
SE,Art,7,1009256578-0
Art,20-30 days,7,1009256578-1
20-30 days,successful,7,1009256578-2
successful,120% - 200%,7,1009256578-3
CA,Games,3,1009260867-0
Games,> 50 days,3,1009260867-1
> 50 days,canceled,3,1009260867-2
canceled,120% - 200%,3,1009260867-3
AU,Art,2,1009283425-0
Art,30-50 days,2,1009283425-1
30-50 days,failed,2,1009283425-2
failed,25% - 50%,2,1009283425-3
N,0",Publishing,246,1009312309-0
Publishing,20-30 days,246,1009312309-1
20-30 days,undefined,246,1009312309-2
undefined,< 10%,246,1009312309-3
US,Theater,7,1009316604-0
Theater,< 10 days,7,1009316604-1
< 10 days,canceled,7,1009316604-2
canceled,< 10%,7,1009316604-3
ES,Games,16,1009327162-0
Games,20-30 days,16,1009327162-1
20-30 days,successful,16,1009327162-2
successful,120% - 200%,16,1009327162-3
CA,Music,32,1009333717-0
Music,> 50 days,32,1009333717-1
> 50 days,successful,32,1009333717-2
successful,100% - 120%,32,1009333717-3
CA,Art,52,1009343442-0
Art,30-50 days,52,1009343442-1
30-50 days,failed,52,1009343442-2
failed,< 10%,52,1009343442-3
US,Photography,216,1009469309-0
Photography,20-30 days,216,1009469309-1
20-30 days,failed,216,1009469309-2
failed,25% - 50%,216,1009469309-3
CA,Technology,4,1009489171-0
Technology,10-20 days,4,1009489171-1
10-20 days,failed,4,1009489171-2
failed,10% - 25%,4,1009489171-3
US,Theater,94,1009491514-0
Theater,> 50 days,94,1009491514-1
> 50 days,failed,94,1009491514-2
failed,10% - 25%,94,1009491514-3
CA,Music,271,1009522080-0
Music,20-30 days,271,1009522080-1
20-30 days,failed,271,1009522080-2
failed,< 10%,271,1009522080-3
GB,Publishing,15,1009575883-0
Publishing,40-50 days,15,1009575883-1
40-50 days,failed,15,1009575883-2
failed,10% - 25%,15,1009575883-3
FR,Design,2,1009660880-0
Design,40-50 days,2,1009660880-1
40-50 days,failed,2,1009660880-2
failed,25% - 50%,2,1009660880-3
NL,Design,11,1009661017-0
Design,20-30 days,11,1009661017-1
20-30 days,successful,11,1009661017-2
successful,> 200%,11,1009661017-3
CA,Photography,28,1009734006-0
Photography,> 50 days,28,1009734006-1
> 50 days,failed,28,1009734006-2
failed,< 10%,28,1009734006-3
CA,Fashion,13,1009738552-0
Fashion,30-50 days,13,1009738552-1
30-50 days,failed,13,1009738552-2
failed,25% - 50%,13,1009738552-3
US,Comics,109,1009787158-0
Comics,> 50 days,109,1009787158-1
> 50 days,successful,109,1009787158-2
successful,120% - 200%,109,1009787158-3
HK,Fashion,2,1009808881-0
Fashion,> 50 days,2,1009808881-1
> 50 days,successful,2,1009808881-2
successful,120% - 200%,2,1009808881-3
CA,Art,29,1009810000-0
Art,10-20 days,29,1009810000-1
10-20 days,failed,29,1009810000-2
failed,< 10%,29,1009810000-3
NZ,Design,11,1009837905-0
Design,20-30 days,11,1009837905-1
20-30 days,successful,11,1009837905-2
successful,> 200%,11,1009837905-3
SE,Film & Video,10,1009840007-0
Film & Video,30-50 days,10,1009840007-1
30-50 days,failed,10,1009840007-2
failed,< 10%,10,1009840007-3
GB,Journalism,38,100984199-0
Journalism,> 50 days,38,100984199-1
> 50 days,failed,38,100984199-2
failed,< 10%,38,100984199-3
MX,Art,3,1009854400-0
Art,30-50 days,3,1009854400-1
30-50 days,successful,3,1009854400-2
successful,> 200%,3,1009854400-3
US,Fashion,123,1009854834-0
Fashion,40-50 days,123,1009854834-1
40-50 days,canceled,123,1009854834-2
canceled,< 10%,123,1009854834-3
CA,Film & Video,2,1009892892-0
Film & Video,40-50 days,2,1009892892-1
40-50 days,live,2,1009892892-2
live,< 10%,2,1009892892-3
AU,Games,220,1009900942-0
Games,20-30 days,220,1009900942-1
20-30 days,failed,220,1009900942-2
failed,< 10%,220,1009900942-3
US,Crafts,46,1009920640-0
Crafts,30-50 days,46,1009920640-1
30-50 days,canceled,46,1009920640-2
canceled,< 10%,46,1009920640-3
ES,Food,43,1009930823-0
Food,20-30 days,43,1009930823-1
20-30 days,failed,43,1009930823-2
failed,< 10%,43,1009930823-3
US,Film & Video,140,1009936273-0
Film & Video,< 10 days,140,1009936273-1
< 10 days,successful,140,1009936273-2
successful,120% - 200%,140,1009936273-3
FR,Design,16,1009961099-0
Design,30-50 days,16,1009961099-1
30-50 days,successful,16,1009961099-2
successful,100% - 120%,16,1009961099-3
GB,Publishing,90,1010025177-0
Publishing,10-20 days,90,1010025177-1
10-20 days,failed,90,1010025177-2
failed,< 10%,90,1010025177-3
GB,Games,60,1010043252-0
Games,40-50 days,60,1010043252-1
40-50 days,failed,60,1010043252-2
failed,< 10%,60,1010043252-3
US,Art,112,1010110715-0
Art,20-30 days,112,1010110715-1
20-30 days,canceled,112,1010110715-2
canceled,10% - 25%,112,1010110715-3
FR,Technology,22,101011400-0
Technology,20-30 days,22,101011400-1
20-30 days,failed,22,101011400-2
failed,10% - 25%,22,101011400-3
NL,Music,10,1010123464-0
Music,20-30 days,10,1010123464-1
20-30 days,canceled,10,1010123464-2
canceled,< 10%,10,1010123464-3
NL,Design,18,1010173138-0
Design,20-30 days,18,1010173138-1
20-30 days,failed,18,1010173138-2
failed,10% - 25%,18,1010173138-3
GB,Photography,67,1010197744-0
Photography,20-30 days,67,1010197744-1
20-30 days,successful,67,1010197744-2
successful,120% - 200%,67,1010197744-3
GB,Journalism,5,1010207468-0
Journalism,10-20 days,5,1010207468-1
10-20 days,successful,5,1010207468-2
successful,> 200%,5,1010207468-3
N,0",Music,65,1010217550-0
Music,10-20 days,65,1010217550-1
10-20 days,undefined,65,1010217550-2
undefined,100% - 120%,65,1010217550-3
US,Publishing,16,1010227672-0
Publishing,20-30 days,16,1010227672-1
20-30 days,suspended,16,1010227672-2
suspended,< 10%,16,1010227672-3
CA,Publishing,56,1010274488-0
Publishing,30-50 days,56,1010274488-1
30-50 days,successful,56,1010274488-2
successful,100% - 120%,56,1010274488-3
US,Publishing,56,101028174-0
Publishing,30-50 days,56,101028174-1
30-50 days,canceled,56,101028174-2
canceled,10% - 25%,56,101028174-3
BE,Fashion,16,1010316470-0
Fashion,20-30 days,16,1010316470-1
20-30 days,failed,16,1010316470-2
failed,< 10%,16,1010316470-3
AU,Publishing,239,1010324680-0
Publishing,20-30 days,239,1010324680-1
20-30 days,failed,239,1010324680-2
failed,< 10%,239,1010324680-3
DE,Music,7,1010382203-0
Music,40-50 days,7,1010382203-1
40-50 days,failed,7,1010382203-2
failed,< 10%,7,1010382203-3
US,Design,440,1010418454-0
Design,30-50 days,440,1010418454-1
30-50 days,failed,440,1010418454-2
failed,10% - 25%,440,1010418454-3
US,Food,184,1010455121-0
Food,20-30 days,184,1010455121-1
20-30 days,failed,184,1010455121-2
failed,50% - 100%,184,1010455121-3
GB,Publishing,11,1010516592-0
Publishing,< 10 days,11,1010516592-1
< 10 days,successful,11,1010516592-2
successful,> 200%,11,1010516592-3
GB,Theater,3,1010598232-0
Theater,< 10 days,3,1010598232-1
< 10 days,failed,3,1010598232-2
failed,25% - 50%,3,1010598232-3
US,Comics,155,1010602030-0
Comics,> 50 days,155,1010602030-1
> 50 days,successful,155,1010602030-2
successful,100% - 120%,155,1010602030-3
NO,Food,3,1010603558-0
Food,20-30 days,3,1010603558-1
20-30 days,successful,3,1010603558-2
successful,100% - 120%,3,1010603558-3
AU,Journalism,6,1010625322-0
Journalism,30-50 days,6,1010625322-1
30-50 days,failed,6,1010625322-2
failed,< 10%,6,1010625322-3
US,Art,154,1010649633-0
Art,> 50 days,154,1010649633-1
> 50 days,successful,154,1010649633-2
successful,120% - 200%,154,1010649633-3
DE,Technology,1,1010661105-0
Technology,40-50 days,1,1010661105-1
40-50 days,canceled,1,1010661105-2
canceled,10% - 25%,1,1010661105-3
IE,Crafts,1,1010673178-0
Crafts,20-30 days,1,1010673178-1
20-30 days,failed,1,1010673178-2
failed,50% - 100%,1,1010673178-3
ES,Games,101,1010693188-0
Games,20-30 days,101,1010693188-1
20-30 days,failed,101,1010693188-2
failed,< 10%,101,1010693188-3
AU,Design,35,1010701682-0
Design,20-30 days,35,1010701682-1
20-30 days,successful,35,1010701682-2
successful,120% - 200%,35,1010701682-3
US,Music,101,1010707026-0
Music,10-20 days,101,1010707026-1
10-20 days,canceled,101,1010707026-2
canceled,< 10%,101,1010707026-3
GB,Design,46,1010757215-0
Design,40-50 days,46,1010757215-1
40-50 days,failed,46,1010757215-2
failed,< 10%,46,1010757215-3
GB,Design,213,1010758977-0
Design,20-30 days,213,1010758977-1
20-30 days,successful,213,1010758977-2
successful,> 200%,213,1010758977-3
ES,Design,5,101076483-0
Design,20-30 days,5,101076483-1
20-30 days,successful,5,101076483-2
successful,> 200%,5,101076483-3
ES,Journalism,8,1010774236-0
Journalism,> 50 days,8,1010774236-1
> 50 days,failed,8,1010774236-2
failed,< 10%,8,1010774236-3
US,Design,157,1010798987-0
Design,> 50 days,157,1010798987-1
> 50 days,failed,157,1010798987-2
failed,10% - 25%,157,1010798987-3
IT,Technology,47,1010876444-0
Technology,40-50 days,47,1010876444-1
40-50 days,failed,47,1010876444-2
failed,< 10%,47,1010876444-3
US,Music,47,101095143-0
Music,< 10 days,47,101095143-1
< 10 days,successful,47,101095143-2
successful,> 200%,47,101095143-3
MX,Film & Video,39,101096588-0
Film & Video,20-30 days,39,101096588-1
20-30 days,successful,39,101096588-2
successful,100% - 120%,39,101096588-3
CA,Games,18,1010999300-0
Games,< 10 days,18,1010999300-1
< 10 days,failed,18,1010999300-2
failed,< 10%,18,1010999300-3
GB,Dance,2,101102048-0
Dance,40-50 days,2,101102048-1
40-50 days,failed,2,101102048-2
failed,50% - 100%,2,101102048-3
GB,Comics,3,101102517-0
Comics,40-50 days,3,101102517-1
40-50 days,canceled,3,101102517-2
canceled,< 10%,3,101102517-3
CA,Food,6,1011034244-0
Food,30-50 days,6,1011034244-1
30-50 days,failed,6,1011034244-2
failed,25% - 50%,6,1011034244-3
US,Photography,276,1011066640-0
Photography,40-50 days,276,1011066640-1
40-50 days,failed,276,1011066640-2
failed,< 10%,276,1011066640-3
NZ,Film & Video,45,1011077112-0
Film & Video,20-30 days,45,1011077112-1
20-30 days,failed,45,1011077112-2
failed,< 10%,45,1011077112-3
US,Comics,22,1011080329-0
Comics,< 10 days,22,1011080329-1
< 10 days,successful,22,1011080329-2
successful,120% - 200%,22,1011080329-3
GB,Comics,9,1011085702-0
Comics,40-50 days,9,1011085702-1
40-50 days,failed,9,1011085702-2
failed,< 10%,9,1011085702-3
GB,Technology,152,1011131069-0
Technology,30-50 days,152,1011131069-1
30-50 days,failed,152,1011131069-2
failed,< 10%,152,1011131069-3
CA,Games,78,1011170380-0
Games,20-30 days,78,1011170380-1
20-30 days,successful,78,1011170380-2
successful,120% - 200%,78,1011170380-3
GB,Photography,43,1011174550-0
Photography,20-30 days,43,1011174550-1
20-30 days,failed,43,1011174550-2
failed,25% - 50%,43,1011174550-3
US,Dance,6,1011224953-0
Dance,10-20 days,6,1011224953-1
10-20 days,failed,6,1011224953-2
failed,50% - 100%,6,1011224953-3
GB,Theater,33,1011252850-0
Theater,10-20 days,33,1011252850-1
10-20 days,successful,33,1011252850-2
successful,120% - 200%,33,1011252850-3
US,Publishing,24,1011339921-0
Publishing,20-30 days,24,1011339921-1
20-30 days,canceled,24,1011339921-2
canceled,50% - 100%,24,1011339921-3
GB,Photography,3,101134401-0
Photography,> 50 days,3,101134401-1
> 50 days,successful,3,101134401-2
successful,> 200%,3,101134401-3
US,Music,7,1011362603-0
Music,< 10 days,7,1011362603-1
< 10 days,canceled,7,1011362603-2
canceled,10% - 25%,7,1011362603-3
FR,Games,18,1011374497-0
Games,20-30 days,18,1011374497-1
20-30 days,failed,18,1011374497-2
failed,25% - 50%,18,1011374497-3
IT,Music,10,1011401237-0
Music,30-50 days,10,1011401237-1
30-50 days,failed,10,1011401237-2
failed,< 10%,10,1011401237-3
NL,Music,22,1011403563-0
Music,20-30 days,22,1011403563-1
20-30 days,successful,22,1011403563-2
successful,100% - 120%,22,1011403563-3
GB,Music,22,1011415506-0
Music,40-50 days,22,1011415506-1
40-50 days,successful,22,1011415506-2
successful,120% - 200%,22,1011415506-3
US,Fashion,49,1011435345-0
Fashion,30-50 days,49,1011435345-1
30-50 days,canceled,49,1011435345-2
canceled,10% - 25%,49,1011435345-3
FR,Design,39,1011452232-0
Design,20-30 days,39,1011452232-1
20-30 days,failed,39,1011452232-2
failed,< 10%,39,1011452232-3
AU,Publishing,24,1011481501-0
Publishing,40-50 days,24,1011481501-1
40-50 days,failed,24,1011481501-2
failed,< 10%,24,1011481501-3
AU,Food,8,1011485219-0
Food,20-30 days,8,1011485219-1
20-30 days,successful,8,1011485219-2
successful,> 200%,8,1011485219-3
US,Design,233,1011548579-0
Design,40-50 days,233,1011548579-1
40-50 days,canceled,233,1011548579-2
canceled,< 10%,233,1011548579-3
GB,Food,8,1011554703-0
Food,> 50 days,8,1011554703-1
> 50 days,successful,8,1011554703-2
successful,100% - 120%,8,1011554703-3
US,Games,120,1011574171-0
Games,> 50 days,120,1011574171-1
